,,,AutoAid — Service Center Onboarding Tracker,,,,,,,,,,,,,,,,,,,
,,,ID,Business Name,Contact Person,Phone,Email,Address,Suburb,Postcode,State,Tyre,Towing,Battery,Fuel,Lockout,Car Wash,Mechanical Support,Rating,Reviews,Badge,Active
,,,AA-001,Bob Towing Parramatta,,+61 2 8456 7148,,1 River Rd W,Parramatta,2150,NSW,No,Yes,Yes,Yes,Yes,No,No,,,,
,,,AA-002,Parramatta Towing,,+61 2 5943 9404,,2 Robert St,Holroyd,2142,NSW,No,Yes,Yes,Yes,Yes,No,No,,,,Yes
,,,AA-003,Toongabbie Tow Service,,+61 2 9423 3892,,40 Burrabogee Rd,Pendle Hill,2145,NSW,No,Yes,Yes,Yes,Yes,No,No,,,,Yes
,,,AA-004,24/7 Mobile Mechanic Sydney,,+61 447 449 227,,47 Springfield St,Old Guildford,2161,NSW,Yes,Yes,Yes,Yes,Yes,No,Yes,,4.5,,Yes
,,,AA-005,Khalsa Mobile Tyres Parramatta,,+61 420 446 864,,1 Dixon St,Parramatta,2150,NSW,Yes,No,Yes,No,No,No,Yes,,,,Yes
,,,AA-006,Tyres & More Parramatta,,+61 2 9188 1153,,187 George St,Parramatta,2150,NSW,Yes,No,No,No,No,No,Yes,,,,Yes
,,,AA-007,Direct Tyre Sales & Mechanical,,+61 2 9683 2988,,130 Victoria Rd,Parramatta,2150,NSW,Yes,No,Yes,No,No,No,Yes,,,,Yes
,,,AA-008,Tyrepower Parramatta,,+61 2 9890 4222,,1/552-560 Church St,North Parramatta,2151,NSW,Yes,No,No,No,No,No,Yes,,,,Yes
,,,AA-009,mycar Tyre & Auto Parramatta,,+61 2 9212 8936,,9A Aird St,Parramatta,2150,NSW,Yes,No,Yes,No,No,Yes,Yes,,,,Yes
,,,AA-010,Narz Mechanic Service & Repair,,+61 430 080 829,,157/159 Church St,Parramatta,2150,NSW,Yes,Yes,Yes,Yes,Yes,No,Yes,,,,Yes
,,,AA-011,KINGZ CARWASH,,+61 468 339 558,,36 Church St,Parramatta,2150,NSW,No,No,No,No,No,Yes,No,,,,Yes
,,,AA-012,Muscle Hand Car Wash,,+61 430 601 901,,159-175 Church St,Parramatta,2150,NSW,No,No,No,No,No,Yes,No,,,,Yes
,,,AA-013,RR Car Wash Parramatta,,+61 430 999 438,,Level -6/175 Church St,Parramatta,2150,NSW,No,No,No,No,No,Yes,No,,,,Yes
,,,AA-014,A Class Mobile Detailing,,+61 421 559 900,,4 New St,North Parramatta,2151,NSW,No,No,No,No,No,Yes,No,,,,No
,,,AA-015,5 Star Hand Car Wash,,+61 2 8859 3777,,132 Victoria Rd,Parramatta,2151,NSW,No,No,No,No,No,Yes,No,,,,
